"","rules","support","confidence","lift","count"
"145197","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {std_train_neg_mean_squared_error=small}",0.059375,0.791666666666667,3.83838383838384,19
"166075","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {std_train_neg_mean_absolute_error=small}",0.06875,0.916666666666667,4.2512077294686,22
"166087","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {std_train_neg_mean_absolute_error=small}",0.059375,0.791666666666667,3.67149758454106,19
"195134","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_test_neg_mean_absolute_error=small}",0.075,1,4.15584415584416,24
"195150","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_test_neg_mean_absolute_error=small}",0.075,1,4.15584415584416,24
"217940","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_train_neg_mean_absolute_error=small}",0.075,1,4.15584415584416,24
"217956","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_train_neg_mean_absolute_error=small}",0.075,1,4.15584415584416,24
"234746","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {std_test_neg_mean_squared_error=small}",0.06875,0.916666666666667,3.76068376068376,22
"234758","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {std_test_neg_mean_squared_error=small}",0.071875,0.958333333333333,3.93162393162393,23
"316416","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_train_r2=small}",0.075,1,4,24
"316432","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_train_r2=small}",0.075,1,4,24
"330285","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_test_r2=small}",0.075,1,4,24
"330301","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_test_r2=small}",0.075,1,4,24
"340792","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_train_neg_mean_squared_error=small}",0.075,1,4,24
"340808","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_train_neg_mean_squared_error=small}",0.075,1,4,24
"348567","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_test_neg_mean_squared_error=small}",0.075,1,4,24
"348583","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_test_neg_mean_squared_error=small}",0.075,1,4,24
"476384","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {std_test_neg_mean_absolute_error=small}",0.05,1,3.90243902439024,16
"476387","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {std_test_neg_mean_absolute_error=small}",0.05,1,3.90243902439024,16
"477567","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {std_test_neg_mean_absolute_error=small}",0.075,1,3.90243902439024,24
"477578","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {std_test_neg_mean_absolute_error=small}",0.06875,0.916666666666667,3.57723577235772,22
"527534","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_score_time=big}",0.06875,0.916666666666667,2.74143302180685,22
"527549","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_score_time=big}",0.0625,0.833333333333333,2.49221183800623,20
"534375","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {std_score_time=big}",0.06875,0.916666666666667,2.74143302180685,22
"545004","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=big} => {std_fit_time=small}",0.0625,0.833333333333333,2.49221183800623,20
"546523","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=big} => {std_fit_time=small}",0.05625,0.75,2.24299065420561,18
"553989","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=big} => {mean_fit_time=small}",0.065625,0.875,2.61682242990654,21
"559444","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {std_test_r2=big}",0.075,1,2.99065420560748,24
"559460","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {std_test_r2=big}",0.075,1,2.99065420560748,24
"561999","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {std_train_r2=big}",0.075,1,2.99065420560748,24
"562015","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {std_train_r2=big}",0.075,1,2.99065420560748,24
"564719","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {std_fit_time=big}",0.053125,0.708333333333333,2.1183800623053,17
"564731","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {std_fit_time=big}",0.05625,0.75,2.24299065420561,18
"565395","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {std_fit_time=big}",0.065625,0.875,2.61682242990654,21
"570477","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=big} => {mean_score_time=small}",0.0625,0.833333333333333,2.49221183800623,20
"573256","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_fit_time=big}",0.05,0.666666666666667,1.99376947040498,16
"573774","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_fit_time=big}",0.05625,0.75,2.24299065420561,18
"573789","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {mean_fit_time=big}",0.06875,0.916666666666667,2.74143302180685,22
"581587","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_train_r2=big}",0.05,1,2,16
"581590","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_train_r2=big}",0.05,1,2,16
"581676","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_test_r2=big}",0.05,1,2,16
"581679","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_test_r2=big}",0.05,1,2,16
"581739","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_train_neg_mean_squared_error=big}",0.05,1,2,16
"581742","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_train_neg_mean_squared_error=big}",0.05,1,2,16
"581780","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_test_neg_mean_squared_error=big}",0.05,1,2,16
"581783","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_test_neg_mean_squared_error=big}",0.05,1,2,16
"581824","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_train_neg_mean_absolute_error=big}",0.05,1,1.96319018404908,16
"581827","{param_C=small,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_test_neg_mean_absolute_error=big}",0.05,1,1.96319018404908,16
"581830","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_train_neg_mean_absolute_error=big}",0.05,1,1.96319018404908,16
"581833","{param_C=big,param_coef0=big,param_degree=small,param_epsilon=small} => {mean_test_neg_mean_absolute_error=big}",0.05,1,1.96319018404908,16
"584340","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {std_train_r2=medium}",0.05,0.666666666666667,1.65374677002584,16
"588433","{param_C=small,param_coef0=small,param_degree=big,param_epsilon=small} => {std_test_neg_mean_absolute_error=big}",0.075,1,2.0253164556962,24
"588449","{param_C=big,param_coef0=small,param_degree=big,param_epsilon=small} => {std_test_neg_mean_absolute_error=big}",0.075,1,2.0253164556962,24
"589110","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_train_r2=big}",0.071875,0.958333333333333,1.91666666666667,23
"589121","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_train_r2=big}",0.065625,0.875,1.75,21
"589424","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_test_r2=big}",0.071875,0.958333333333333,1.91666666666667,23
"589435","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_test_r2=big}",0.065625,0.875,1.75,21
"589619","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_train_neg_mean_squared_error=big}",0.071875,0.958333333333333,1.91666666666667,23
"589630","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_train_neg_mean_squared_error=big}",0.065625,0.875,1.75,21
"589728","{param_C=small,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_test_neg_mean_squared_error=big}",0.071875,0.958333333333333,1.91666666666667,23
"589739","{param_C=big,param_coef0=big,param_degree=big,param_epsilon=small} => {mean_test_neg_mean_squared_error=big}",0.065625,0.875,1.75,21
