"","rules","support","confidence","lift","count"
"19142","{param_C=small,param_epsilon=small,param_gamma=small} => {std_test_r2=small}",0.064,1,5.20833333333333,8
"36279","{param_C=small,param_epsilon=small,param_gamma=small} => {std_train_r2=small}",0.064,1,4.80769230769231,8
"39038","{param_C=small,param_epsilon=small,param_gamma=small} => {std_test_neg_mean_squared_error=medium}",0.064,1,3.78787878787879,8
"39071","{param_C=small,param_epsilon=small,param_gamma=big} => {std_test_neg_mean_squared_error=medium}",0.072,0.75,2.84090909090909,9
"41137","{param_C=small,param_epsilon=small,param_gamma=small} => {std_test_neg_mean_absolute_error=medium}",0.064,1,3.78787878787879,8
"41169","{param_C=small,param_epsilon=small,param_gamma=big} => {std_test_neg_mean_absolute_error=medium}",0.064,0.666666666666667,2.52525252525253,8
"56286","{param_C=small,param_epsilon=small,param_gamma=small} => {mean_fit_time=big}",0.064,1,2.97619047619048,8
"56440","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_fit_time=big}",0.088,0.916666666666667,2.7281746031746,11
"56550","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_fit_time=big}",0.144,1,2.97619047619048,18
"59948","{param_C=big,param_epsilon=small,param_gamma=small} => {std_train_neg_mean_absolute_error=small}",0.088,0.916666666666667,2.7281746031746,11
"59951","{param_C=big,param_epsilon=small,param_gamma=big} => {std_train_neg_mean_absolute_error=small}",0.096,0.666666666666667,1.98412698412698,12
"62559","{param_C=big,param_epsilon=small,param_gamma=small} => {std_train_neg_mean_squared_error=small}",0.08,0.833333333333333,2.48015873015873,10
"62562","{param_C=big,param_epsilon=small,param_gamma=big} => {std_train_neg_mean_squared_error=small}",0.104,0.722222222222222,2.1494708994709,13
"64829","{param_C=big,param_epsilon=small,param_gamma=small} => {std_test_r2=big}",0.096,1,2.97619047619048,12
"64831","{param_C=big,param_epsilon=small,param_gamma=big} => {std_test_r2=big}",0.096,0.666666666666667,1.98412698412698,12
"66594","{param_C=big,param_epsilon=small,param_gamma=small} => {std_train_r2=big}",0.088,0.916666666666667,2.7281746031746,11
"68123","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_test_neg_mean_absolute_error=big}",0.08,0.833333333333333,2.48015873015873,10
"68127","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_test_neg_mean_absolute_error=big}",0.144,1,2.97619047619048,18
"69202","{param_C=big,param_epsilon=small,param_gamma=small} => {std_test_neg_mean_absolute_error=small}",0.08,0.833333333333333,2.48015873015873,10
"69204","{param_C=big,param_epsilon=small,param_gamma=big} => {std_test_neg_mean_absolute_error=small}",0.096,0.666666666666667,1.98412698412698,12
"70068","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_train_neg_mean_absolute_error=big}",0.08,0.833333333333333,2.48015873015873,10
"70072","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_train_neg_mean_absolute_error=big}",0.144,1,2.97619047619048,18
"70749","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_test_neg_mean_squared_error=big}",0.08,0.833333333333333,2.48015873015873,10
"70753","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_test_neg_mean_squared_error=big}",0.144,1,2.97619047619048,18
"71208","{param_C=big,param_epsilon=small,param_gamma=small} => {std_test_neg_mean_squared_error=small}",0.08,0.833333333333333,2.48015873015873,10
"71211","{param_C=big,param_epsilon=small,param_gamma=big} => {std_test_neg_mean_squared_error=small}",0.112,0.777777777777778,2.31481481481481,14
"71529","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_train_neg_mean_squared_error=big}",0.08,0.833333333333333,2.48015873015873,10
"71533","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_train_neg_mean_squared_error=big}",0.144,1,2.97619047619048,18
"71727","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_test_r2=big}",0.08,0.833333333333333,2.48015873015873,10
"71731","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_test_r2=big}",0.144,1,2.97619047619048,18
"71836","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_train_r2=big}",0.08,0.833333333333333,2.48015873015873,10
"71840","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_train_r2=big}",0.144,1,2.97619047619048,18
"75395","{param_C=big,param_epsilon=big,param_gamma=big} => {std_score_time=small}",0.136,0.62962962962963,1.87389770723104,17
"76945","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_score_time=small}",0.064,0.666666666666667,1.98412698412698,8
"78377","{param_C=big,param_epsilon=small,param_gamma=small} => {std_fit_time=big}",0.088,0.916666666666667,2.7281746031746,11
"78426","{param_C=big,param_epsilon=small,param_gamma=big} => {std_fit_time=big}",0.144,1,2.97619047619048,18
"78696","{param_C=small,param_epsilon=small,param_gamma=big} => {std_score_time=big}",0.064,0.666666666666667,1.98412698412698,8
"78771","{param_C=big,param_epsilon=small,param_gamma=small} => {std_score_time=big}",0.072,0.75,2.23214285714286,9
"78861","{param_C=big,param_epsilon=small,param_gamma=big} => {std_score_time=big}",0.12,0.833333333333333,2.48015873015873,15
"79041","{param_C=small,param_epsilon=small,param_gamma=big} => {mean_score_time=big}",0.088,0.916666666666667,2.7281746031746,11
"79131","{param_C=big,param_epsilon=small,param_gamma=small} => {mean_score_time=big}",0.088,0.916666666666667,2.7281746031746,11
"79223","{param_C=big,param_epsilon=small,param_gamma=big} => {mean_score_time=big}",0.12,0.833333333333333,2.48015873015873,15
"80458","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_fit_time=small}",0.064,0.666666666666667,1.98412698412698,8
"82163","{param_C=small,param_epsilon=big,param_gamma=small} => {std_fit_time=small}",0.064,0.666666666666667,1.98412698412698,8
"82389","{param_C=big,param_epsilon=big,param_gamma=small} => {std_fit_time=small}",0.088,0.611111111111111,1.81878306878307,11
"83518","{param_C=small,param_epsilon=big,param_gamma=small} => {std_test_neg_mean_squared_error=big}",0.064,0.666666666666667,1.66666666666667,8
"83635","{param_C=small,param_epsilon=big,param_gamma=big} => {std_test_neg_mean_squared_error=big}",0.096,0.666666666666667,1.66666666666667,12
"83758","{param_C=big,param_epsilon=big,param_gamma=small} => {std_test_neg_mean_squared_error=big}",0.096,0.666666666666667,1.66666666666667,12
"84741","{param_C=big,param_epsilon=big,param_gamma=big} => {std_test_neg_mean_squared_error=big}",0.144,0.666666666666667,1.66666666666667,18
"84749","{param_C=small,param_epsilon=big,param_gamma=small} => {std_test_neg_mean_absolute_error=big}",0.064,0.666666666666667,1.66666666666667,8
"84866","{param_C=small,param_epsilon=big,param_gamma=big} => {std_test_neg_mean_absolute_error=big}",0.096,0.666666666666667,1.66666666666667,12
